,age,gender,bmi,children,discount_eligibility,region,expenses,premium
count,1338.0,1338,1338.0,1338.0,1338,1338,1338.0,1338.0
unique,,2,,,2,4,,
top,,male,,,no,southeast,,
freq,,676,,,1064,364,,
mean,39.20702541106129,,30.66547085201794,1.0949177877429,,,13270.422414050823,262.87468542600897
std,14.049960379216154,,6.098382190003363,1.205492739781914,,,12110.011239706468,292.532178417969
min,18.0,,16.0,0.0,,,1121.87,11.2187
25%,27.0,,26.3,0.0,,,4740.2875,87.35425000000001
50%,39.0,,30.4,1.0,,,9382.029999999999,174.9974
75%,51.0,,34.7,2.0,,,16639.915,342.9089
max,64.0,,53.1,5.0,,,63770.43,1983.1064
